name,domain,what,region,website,github,linkedin_org,community_url,events_url,linkedin_people,tags,related_to,source,founding_year,takes_contributors,careers_url,last_verified
EveryoneOn,digital-inclusion,"EveryoneOn connects under-resourced communities to affordable internet and computers, trains people and organisations in digital skills, and works for fair access policies.",national,https://www.everyoneon.org,,,,,,digital inclusion; affordable internet; devices; digital skills,,everyoneon.org/about (verified 2026-09-23),,,,2026-09-23
Feeding America,food-rescue / food-security tech,Feeding America is a nonprofit network of 200 food banks working to end hunger in the United States.,national,https://www.feedingamerica.org,,,,,,food security; food banks; hunger; nonprofit,,feedingamerica.org homepage (verified 2026-09-23),,,,2026-09-23
Freedom of the Press Foundation,human-rights tech,"Freedom of the Press Foundation builds and supports secure tools for journalists, and campaigns against threats to press freedom.",national,https://freedom.press,,,,,,press freedom; journalism; security tools; encryption,,freedom.press homepage (verified 2026-09-23),,,,2026-09-23
GovTrack,civic-tech,"GovTrack tracks legislation and votes in the United States Congress and actions by the White House, and publishes the record where anyone can follow it.",national,https://www.govtrack.us,,,,,,congress; legislation; transparency; open data,,govtrack.us homepage (verified 2026-09-23),,,,2026-09-23
Kapor Center,digital-inclusion,"The Kapor Center is a family of organisations working to remove barriers for people of colour in the technology sector, through research, programmes, advocacy, and investment.",national,https://www.kaporcenter.org,,,,,,racial equity; tech sector; research; investment,,kaporcenter.org homepage (verified 2026-09-23),,,,2026-09-23
Knowbility,disability & accessibility tech,"Knowbility is a nonprofit based in Austin, Texas working to create an inclusive digital world for people with disabilities, through training, consulting, and advocacy. It was founded in 1999.",south-central,https://knowbility.org,,,,,,accessibility; disability; training; consulting,,knowbility.org/about (verified 2026-09-23),1999,,,2026-09-23
Open States,open-data,"Open States publishes data on state legislatures across the United States. It covers who the legislators are, what they sponsor, and how they vote.",national,https://openstates.org,,,,,,state legislatures; open data; legislation; api,,openstates.org homepage (verified 2026-09-23),,,,2026-09-23
ProPublica,journalism / media-tech,"ProPublica is an independent, non-profit newsroom that produces investigative journalism in the public interest.",national,https://www.propublica.org,,,,,,investigative journalism; nonprofit news; public interest,,propublica.org homepage (verified 2026-09-23),,,,2026-09-23
Public Knowledge,human-rights tech,"Public Knowledge promotes freedom of expression, an open internet, and access to affordable communications tools and creative works, through policy work on behalf of the public interest.",national,https://publicknowledge.org,,,,,,internet policy; open internet; free expression; advocacy,,publicknowledge.org homepage (verified 2026-09-23),,,,2026-09-23
Rewiring America,green / climate-tech,"Rewiring America works on electrifying American households, with the aim of clean energy that every household can afford.",national,https://www.rewiringamerica.org,,,,,,electrification; clean energy; households; climate,,rewiringamerica.org homepage (verified 2026-09-23),,,,2026-09-23
U.S. Federation of Worker Cooperatives,worker-coop / platform-coop tech,"The U.S. Federation of Worker Cooperatives is the national membership organisation for worker cooperatives and democratic workplaces. It represents an estimated 1,300 US worker co-ops and their 15,000 workers.",national,https://usworker.coop,,,,,,worker cooperatives; economic democracy; membership; advocacy,,usworker.coop/about (verified 2026-09-23),,,,2026-09-23
USAFacts,open-data,"USAFacts publishes a nonpartisan view of the state of the country, built from government data and free for anyone to use.",national,https://usafacts.org,,,,,,open data; government data; statistics; nonpartisan,,usafacts.org homepage (verified 2026-09-23),,,,2026-09-23
Vote.org,civic-tech,"Vote.org is a nonpartisan service for registering to vote, checking a registration, and requesting an absentee ballot.",national,https://www.vote.org,,,,,,voting; registration; elections; nonpartisan,,vote.org homepage (verified 2026-09-23),,,,2026-09-23
